full_name,team_code,number,position,games_played,points,goals,assists,1_point_attempts,1_point_percent,2_point_attempts,2_point_percent,total_shots,shooting_percent,shots_on_goal,turnovers,caused_turnovers,groundballs,faceoff_attempts,faceoff_win_percent,first_name,last_name,1_point_goals,1_point_shots,2_point_goals,2_point_shots,faceoff_wins,faceoffs_taken
Will Haus,CHR,6,Midfield,2,0,0,0,0-0,0.0%,0-1,0.0%,1,0.0%,0,0,0,4,0-0,0.0%,Will,Haus,0,0,0,1,0,0
Connor Farrell,CHR,25,Faceoff,2,1,1,0,1-1,100.0%,0-0,0.0%,1,100.0%,1,3,1,14,22-45,48.8%,Connor,Farrell,1,1,0,0,22,45
Ryan Flanagan,CHR,42,Defense,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,2,2,0-0,0.0%,Ryan,Flanagan,0,0,0,0,0,0
Max Tuttle,CHR,21,Midfield,2,0,0,0,0-4,0.0%,0-0,0.0%,4,0.0%,2,3,1,2,0-2,0.0%,Max,Tuttle,0,4,0,0,0,2
Chris Sabia,CHR,16,Defense,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,3,0-0,0.0%,Chris,Sabia,0,0,0,0,0,0
Simon Mathias,CHR,45,Attack,2,4,2,2,2-8,25.0%,0-0,0.0%,8,25.0%,7,0,1,2,0-0,0.0%,Simon,Mathias,2,8,0,0,0,0
John Prendergast,CHR,2,Midfield,2,0,0,0,0-1,0.0%,0-0,0.0%,1,0.0%,1,0,0,0,0-0,0.0%,John,Prendergast,0,1,0,0,0,0
Joe Fletcher,CHR,36,Defense,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,1,1,0-0,0.0%,Joe,Fletcher,0,0,0,0,0,0
Alec Tulett,CHR,3,Defense,2,0,0,0,0-0,0.0%,0-1,0.0%,1,0.0%,0,4,1,1,0-0,0.0%,Alec,Tulett,0,0,0,1,0,0
Alex Ready,CHR,19,G,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,1,3,0-0,0.0%,Alex,Ready,0,0,0,0,0,0
Greg Coholan,CHR,4,M,2,1,1,0,1-1,100.0%,0-0,0.0%,1,100.0%,1,0,0,0,0-0,0.0%,Greg,Coholan,1,1,0,0,0,0
Brent Adams,RED,8,Midfield,3,7,4,2,3-5,60.0%,1-4,25.0%,9,44.4%,7,2,1,3,0-0,0.0%,Brent,Adams,3,5,1,4,0,0
Brian Karalunas,RED,25,Defense,3,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,2,10,0-0,0.0%,Brian,Karalunas,0,0,0,0,0,0
Chazz Woodson,RED,-,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Chazz,Woodson,0,0,0,0,0,0
Eddy Glazener,RED,41,Defense,3,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,3,4,0-0,0.0%,Eddy,Glazener,0,0,0,0,0,0
Garrett Epple,RED,52,Defense,3,2,1,1,1-2,50.0%,0-0,0.0%,2,50.0%,2,1,1,5,0-0,0.0%,Garrett,Epple,1,2,0,0,0,0
Greg Gurenlian,RED,32,Faceoff,3,2,1,1,1-1,100.0%,0-0,0.0%,1,100.0%,1,3,0,25,40-70,57.1%,Greg,Gurenlian,1,1,0,0,40,70
Gunnar Waldt,RED,14,Goalie,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Gunnar,Waldt,0,0,0,0,0,0
Jack Kelly,RED,-,Goalie,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Jack,Kelly,0,0,0,0,0,0
Jack Near,RED,2,Midfield,3,1,1,0,1-1,100.0%,0-1,0.0%,2,50.0%,2,2,4,4,0-0,0.0%,Jack,Near,1,1,0,1,0,0
Joe Walters,RED,1,Midfield,3,5,3,2,3-5,60.0%,0-0,0.0%,5,60.0%,5,2,0,0,0-0,0.0%,Joe,Walters,3,5,0,0,0,0
John Sexton,RED,46,Defense,3,3,2,0,1-1,100.0%,1-2,50.0%,3,66.6%,3,0,0,3,0-5,0.0%,John,Sexton,1,1,1,2,0,5
JoJo Marasco,RED,22,Midfield,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,2,0,0,0-0,0.0%,JoJo,Marasco,0,0,0,0,0,0
Kyle Harrison,RED,18,Midfield,3,2,1,1,1-5,20.0%,0-1,0.0%,6,16.6%,3,1,0,0,0-0,0.0%,Kyle,Harrison,1,5,0,1,0,0
Kylor Bellistri,RED,88,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Kylor,Bellistri,0,0,0,0,0,0
Larken Kemp,RED,42,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Larken,Kemp,0,0,0,0,0,0
Matt Kavanagh,RED,5,Attack,3,7,3,4,3-12,25.0%,0-0,0.0%,12,25.0%,7,7,2,6,0-0,0.0%,Matt,Kavanagh,3,12,0,0,0,0
Matt Landis,RED,43,Defense,3,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,2,2,10,0-0,0.0%,Matt,Landis,0,0,0,0,0,0
Nick Ossello,RED,13,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Nick,Ossello,0,0,0,0,0,0
Patrick Harbeson,RED,40,Midfield,3,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,2,1,3,0-0,0.0%,Patrick,Harbeson,0,0,0,0,0,0
Peter Baum,RED,-,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Peter,Baum,0,0,0,0,0,0
Sergio Perkovic,RED,16,Midfield,3,6,4,0,2-7,28.5%,2-4,50.0%,11,36.3%,7,2,2,2,0-0,0.0%,Sergio,Perkovic,2,7,2,4,0,0
Sergio Salcido,RED,48,Midfield,3,1,0,1,0-13,0.0%,0-0,0.0%,13,0.0%,6,2,0,0,0-0,0.0%,Sergio,Salcido,0,13,0,0,0,0
Clarke Petterson,RED,45,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Clarke,Petterson,0,0,0,0,0,0
Tim Troutner,RED,0,Goalie,3,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,2,0,5,0-0,0.0%,Tim,Troutner,0,0,0,0,0,0
Ryder Garnsey,RED,50,Midfield,3,10,6,4,6-15,40.0%,0-0,0.0%,15,40.0%,9,5,2,4,0-0,0.0%,Ryder,Garnsey,6,15,0,0,0,0
Tyler Dunn,RED,23,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Tyler,Dunn,0,0,0,0,0,0
Jules Heningburg,RED,7,Attack,3,6,4,2,4-14,28.5%,0-0,0.0%,14,28.5%,9,4,0,1,0-0,0.0%,Jules,Heningburg,4,14,0,0,0,0
Wes Berg,RED,55,Attack,2,5,5,0,5-15,33.3%,0-0,0.0%,15,33.3%,11,0,0,5,0-0,0.0%,Wes,Berg,5,15,0,0,0,0
Jerry Ragonese,RED,37,Faceoff,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Jerry,Ragonese,0,0,0,0,0,0
